,ADDRESS,zipcode,price,bedrooms,bathrooms,sqft_living,yr_built,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),lat,long
82,14830 Dougherty Pl NE,98019,499950,3,2.0,1120.0,1988.0,http://www.redfin.com/WA/Duvall/14830-Dougherty-Pl-NE-98019/home/518646,47.7350463,-121.98056090000001
83,2810 216th Ave SE,98075,925000,4,2.5,2210.0,1993.0,http://www.redfin.com/WA/Sammamish/2810-216th-Ave-SE-98075/home/434405,47.583004100000004,-122.05118020000002
84,335 SW 3rd Ct #13,98057,710900,5,2.5,2802.0,2019.0,http://www.redfin.com/WA/Renton/335-SW-3rd-Ct-98057/unit-13/home/167954581,47.4797534,-122.2215815
85,1000 Union #316,98101,365000,1,0.75,600.0,1965.0,http://www.redfin.com/WA/Seattle/1000-Union-St-98101/unit-316/home/47271,47.6123581,-122.32899350000001
86,13 SW Madrona Rd,98070,235000,0,,,,http://www.redfin.com/WA/Vashon/13-SW-Madrona-Rd-98070/home/167111127,47.418232,-122.50341599999999
87,3212 15th Ave W Unit B,98119,649950,2,1.5,1410.0,2019.0,http://www.redfin.com/WA/Seattle/3212-15th-Ave-W-98119/unit-B/home/170195044,47.648949,-122.37591689999999
88,3216 15th Ave W Unit A,98119,739950,2,2.25,1438.0,2019.0,http://www.redfin.com/WA/Seattle/3216-15th-Ave-W-98119/unit-A/home/170195043,47.6490237,-122.3759174
89,3216 15th Ave W Unit C,98119,799950,3,2.25,1556.0,2019.0,http://www.redfin.com/WA/Seattle/3216-15th-Ave-W-98119/unit-C/home/170195042,47.6490237,-122.3759174
90,302nd Ave SE,98022,199950,0,,,,http://www.redfin.com/WA/Enumclaw/302nd-Ave-SE-98022/home/101644924,47.2441,-121.939
91,32742 NE 52nd St,98014,749950,5,3.5,3701.0,2017.0,http://www.redfin.com/WA/Carnation/32742-NE-52nd-St-98014/home/106724052,47.6531474,-121.90247109999999
92,323 SW 3rd Ct #11,98057,706900,5,2.5,2802.0,2019.0,http://www.redfin.com/WA/Renton/323-SW-3rd-Ct-98057/unit-11/home/167265910,47.47967,-122.22222
93,12724 42nd Ave NE,98125,1299950,5,4.0,3580.0,1956.0,http://www.redfin.com/WA/Seattle/12724-42nd-Ave-NE-98125/home/319546,47.721837799999996,-122.2822765
94,5401 20th Ave S,98108,1050000,3,3.0,2440.0,1990.0,http://www.redfin.com/WA/Seattle/5401-20th-Ave-S-98108/home/482243,47.5541838,-122.3077402
95,26044 SE 192nd St,98038,925999,4,3.0,2530.0,2000.0,http://www.redfin.com/WA/Maple-Valley/26044-SE-192nd-St-98038/home/423752,47.430264,-121.99232099999999
96,19234 127th Ave,98011,299500,2,2.0,1152.0,1973.0,http://www.redfin.com/WA/Bothell/19234-127th-Ave-NE-98011/home/17080194,47.766498299999995,-122.1716498
97,1500 S 18th St Unit D201,98055,309900,2,1.75,1068.0,1999.0,http://www.redfin.com/WA/Renton/1500-S-18th-St-98055/unit-D201/home/41633,47.4646114,-122.1976476
98,3724 S 360th St,98001,379980,3,1.0,1560.0,1942.0,http://www.redfin.com/WA/Auburn/3724-S-360th-St-98001/home/363507,47.279248700000004,-122.28612790000001
99,1800 Taylor Ave N #211,98109,379950,2,1.0,798.0,1948.0,http://www.redfin.com/WA/Seattle/1800-Taylor-Ave-N-98109/unit-211/home/72363,47.6352915,-122.34571480000001
100,6730 C Corson Ave S,98108,534999,2,2.0,1273.0,2019.0,http://www.redfin.com/WA/Seattle/6730-Corson-Ave-S-98108/home/112863388,47.5416345,-122.32294590000001
101,23232 26th Ave S,98188,349950,4,1.5,1910.0,1956.0,http://www.redfin.com/WA/Des-Moines/23232-26th-Ave-S-98198/home/202774,47.3928041,-122.29995670000001
102,12512 SE 212th Pl,98031,470000,5,2.75,2172.0,1974.0,http://www.redfin.com/WA/Kent/12512-SE-212th-Pl-98031/home/220966,47.4120549,-122.17455249999999
103,9206 157th Pl NE,98052,715000,3,2.5,1470.0,1995.0,http://www.redfin.com/WA/Redmond/9206-157th-Pl-NE-98052/home/17081680,47.684034499999996,-122.12997390000001
104,9730 132nd Ave NE,98033,950000,3,1.0,1400.0,1959.0,http://www.redfin.com/WA/Kirkland/9730-132nd-Ave-NE-98033/home/513152,47.6884904,-122.16454909999999
105,25747 20th Ave S,98198,430000,5,2.0,2000.0,1960.0,http://www.redfin.com/WA/Des-Moines/25747-20th-Ave-S-98198/home/203201,47.3705836,-122.3086794
106,19514 Burke Ave N,98133,649950,3,2.75,1847.0,1953.0,http://www.redfin.com/WA/Shoreline/19514-Burke-Ave-N-98133/home/79365,47.7710205,-122.3361419
107,25579 140th Ln SW,98070,899500,3,2.25,2160.0,1955.0,http://www.redfin.com/WA/Vashon/25579-140th-Ln-SW-98070/home/522500,47.3760154,-122.5150853
108,31500 33rd Pl SW Unit H204,98023,220000,2,1.0,972.0,1990.0,http://www.redfin.com/WA/Federal-Way/31500-33rd-Pl-SW-98023/unit-H204/home/170194443,47.320138899999996,-122.3751633
109,20419 130th Ave SE,98031,355000,3,1.0,990.0,1969.0,http://www.redfin.com/WA/Kent/20419-130th-Ave-SE-98031/home/226094,47.4183766,-122.16892490000001
110,2122 S 371st St,98003,499950,4,2.5,2760.0,1992.0,http://www.redfin.com/WA/Federal-Way/2122-S-371st-St-98003/home/366477,47.2692998,-122.306506
111,2527 S 366th Pl,98003,415000,3,2.25,1790.0,1980.0,http://www.redfin.com/WA/Federal-Way/2527-S-366th-Pl-98003/home/362006,47.2730052,-122.30135870000001
112,12086 159th Ave NE,98052,1688990,5,4.75,4069.0,2020.0,http://www.redfin.com/WA/Redmond/12086-159th-Ave-NE-98052/home/170194363,47.7044524,-122.12683600000001
113,11120 127th Pl NE,98033,749995,3,1.75,1330.0,1976.0,http://www.redfin.com/WA/Kirkland/11120-127th-Pl-NE-98033/home/512531,47.7000903,-122.1703173
114,25617 SE 390th St,98022,669000,3,2.0,2650.0,1978.0,http://www.redfin.com/WA/Enumclaw/25617-SE-390th-St-98022/home/293950,47.251271,-121.99991399999999
115,26523 NE Valley St,98019,625000,5,2.75,2050.0,2012.0,http://www.redfin.com/WA/Duvall/26523-NE-Valley-St-98019/home/22226152,47.7373022,-121.98390829999998
116,437 E NE 73rd St,98115,779950,2,1.75,1273.0,2019.0,http://www.redfin.com/WA/Seattle/437-NE-73rd-St-98115/home/2063522,47.6813306,-122.3235233
117,8055 20th Ave NE,98115,889000,4,2.25,2970.0,1950.0,http://www.redfin.com/WA/Seattle/8055-20th-Ave-NE-98115/home/310503,47.688292700000005,-122.3071248
118,7614 130th Ave NE,98033,950000,3,2.25,1840.0,1974.0,http://www.redfin.com/WA/Kirkland/7614-130th-Ave-NE-98033/home/515246,47.6728495,-122.16629760000001
119,16004 6th Ave SW,98166,450000,3,2.0,1539.0,1951.0,http://www.redfin.com/WA/Burien/16004-6th-Ave-SW-98166/home/186458,47.4595611,-122.34215320000001
120,8521 143rd Ct NE,98052,1225000,5,2.5,3460.0,1998.0,http://www.redfin.com/WA/Redmond/8521-143rd-Ct-NE-98052/home/511751,47.6791576,-122.1493571
121,24619 234th Way SE,98038,449950,3,2.5,1718.0,1995.0,http://www.redfin.com/WA/Maple-Valley/24619-234th-Way-SE-98038/home/375462,47.3806273,-122.02755590000001
122,36030 S 56th Ave S #46,98001,469990,3,2.5,2079.0,2019.0,http://www.redfin.com/WA/Auburn/36030-56th-Ave-S-98001/unit-46/home/170193982,47.2780157,-122.2642989
123,35820 51st Ave S #25,98001,487990,4,2.5,2400.0,2020.0,http://www.redfin.com/WA/Auburn/35820-51st-Ave-S-98001/unit-25/home/170193981,47.280136,-122.2707318
124,10020 206th Ave NE,98053,525000,3,1.0,920.0,1968.0,http://www.redfin.com/WA/Redmond/10020-206th-Ave-NE-98053/home/445862,47.6894881,-122.0648972
125,18621 4th Ave S,98148,399800,3,1.0,940.0,1954.0,http://www.redfin.com/WA/Burien/18621-4th-Ave-S-98148/home/338789,47.4361769,-122.33007099999999
126,3612 S Orcas St,98118,650000,4,2.25,1820.0,1964.0,http://www.redfin.com/WA/Seattle/3612-S-Orcas-St-98118/home/174037,47.551458200000006,-122.2873365
127,32230 11th Pl SW,98023,415000,3,2.5,1860.0,1986.0,http://www.redfin.com/WA/Federal-Way/32230-11th-Pl-SW-98023/home/359780,47.3119864,-122.34960079999999
